Número;Governadores;Partido;Vice;Imagem-Gove;Imagem-Gove
11;Luis Carlos Heinze;PP;Tanise Sabino;GOV-PP.png;undefined.png
12;Vieira da Cunha;PDT;Professora Regina;GOV-PDT.png;undefined.png
13;Edegar Pretto;PT;Pedro Ruas;GOV-PT.png;VICEGOV-PT.png;
16;Rejane de Oliveira;PSTU;Vera R. de Oliveira;GOV-PSTU.png;undefined.png
20;Roberto Argenta;PSC;Nivea Rosa;GOV-PSC.png;undefined.png
21;Carlos Messalla;PCB;Edson Canabarro;GOV-PCB.png;undefined.png
22;Onyx Lorenzoni;PL;Cláudia Jardim;GOV-PL.png;VICEGOV-PL.png
30;Ricardo Jobim;NOVO;Rafael Dresch;GOV-NOVO.png;undefined.png
40;Vicente Bogo;PSB;Josi Paz;GOV-PSB.png;undefined.png
45;Eduardo Leite;PSDB;Gabriel Souza;GOV-PSDB.png;VICEGOV-PSDB.png
