Número;Presidentes;Partido;Vice;Imagem-Pres;Imagem-Vice
12;Ciro Gomes;PDT;Ana Paula Matos;PRES-PDT.png;VICE-PDT.png
13;Luiz Inácio Lula da Silva;PT;Geraldo Alckmin;PRES-PT.png;VICE-PT.png
14;Padre Kelmon;PTB;Luiz Cláudio Gamonal;PRES-PTB.png;VICE-PTB.png
15;Simone Tebet;MDB;Mara Gabrilli;PRES-MDB.png;VICE-MDB.png
16;Vera Lúcia;PSTU;Raquel Tremembé;PRES-PSTU.png;undefined.png
21;Sofia Manzano;PCB;Antonio Alves;PRES-PCB.png;undefined.png
22;Jair Bolsonaro;PL;Walter Braga Netto;PRES-PL.png;VICE-PL.png
27;Constituinte Eymael;DC;João Barbosa Bravo;PRES-DC.png;VICE-DC.png
30;Luiz Felipe d’Avila;Novo;Tiago Mitraud;PRES-NOVO.png;VICE-NOVO.png
44;Soraya Thronicke;União Brasil;Marcos Cintra;PRES-UB.png;undefined.png
80;Léo Péricles;UP;Samara Martins;PRES-UP.png;undefined.png
